scraped_at,scrape_date,store_name,category_name,category_url,main_url,discovery_hint,source_url,product_name,brand,current_price_raw,previous_price_raw,unit_price_raw,package_raw,discount_raw,promo_raw,current_price_eur,previous_price_eur,source_product_url,error_message
2026-03-26 13:17:16,2026-03-26,Billa,,,,,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,Ja! Natürlich Butter,Ja! Natürlich,3.19,2.69,,,,,3.19,2.69,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,legacy_search
2026-03-26 13:17:18,2026-03-26,Billa,,,,,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829,Ja! Natürlich Bio Eier M,Ja! Natürlich,4.99,,,,,,4.99,,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829,legacy_search
2026-03-26 13:17:20,2026-03-26,Billa,,,,,,,,,,,,,,,,,legacy_search
2026-03-26 13:17:22,2026-03-26,Billa,,,,,https://shop.billa.at/produkte/ja-natuerlich-gemischtes-faschiertes-00763685,Ja! Natürlich gemischtes Faschiertes,Ja! Natürlich,7.99,,,,,,7.99,,https://shop.billa.at/produkte/ja-natuerlich-gemischtes-faschiertes-00763685,legacy_search
2026-03-26 13:17:24,2026-03-26,Billa,,,,,https://shop.billa.at/produkte/ja-natuerlich-mozzarella-00946692,Ja! Natürlich Mozzarella,Ja! Natürlich,1.49,,,,,,1.49,,https://shop.billa.at/produkte/ja-natuerlich-mozzarella-00946692,legacy_search
2026-03-26 13:17:27,2026-03-26,Billa,,,,,https://shop.billa.at/produkte/billa-bio-caffe-crema-00463751,BILLA Bio Caffe Crema,BILLA Bio,14.99,,,,,,14.99,,https://shop.billa.at/produkte/billa-bio-caffe-crema-00463751,legacy_search
2026-03-26 13:17:30,2026-03-26,Billa,,,,,https://shop.billa.at/produkte/ja-natuerlich-vollmilch-laenger-frisch-35-00651606,Ja! Natürlich Vollmilch länger frisch 3.5%,Ja! Natürlich,1.89,,,,,,1.89,,https://shop.billa.at/produkte/ja-natuerlich-vollmilch-laenger-frisch-35-00651606,legacy_search
2026-03-26 13:17:32,2026-03-26,Billa,,,,,https://shop.billa.at/produkte/clever-alpenvollmilch-schokolade-00769715,Clever Alpenvollmilch Schokolade,CLEVER,0.89,2.19,,,,,0.89,2.19,https://shop.billa.at/produkte/clever-alpenvollmilch-schokolade-00769715,legacy_search
2026-03-26 13:17:35,2026-03-26,Hofer,,,,,https://www.hofer.at/de/p.zurueck-zum-ursprung-buttervariation-streichzart.000000000110877002.html,"ZURÜCK ZUM URSPRUNG Buttervariation, Streichzart",ZURÜCK ZUM URSPRUNG,2.99,,,,,,2.99,,https://www.hofer.at/de/p.zurueck-zum-ursprung-buttervariation-streichzart.000000000110877002.html,legacy_search
2026-03-26 13:17:37,2026-03-26,Hofer,,,,,https://www.hofer.at/de/p.fair-hof-freilandeier-m-l.000000000000286196.html,FAIR HOF Freilandeier M/L,FAIR HOF,3.79,,,,,,3.79,,https://www.hofer.at/de/p.fair-hof-freilandeier-m-l.000000000000286196.html,legacy_search
2026-03-26 13:17:38,2026-03-26,Hofer,,,,,https://www.hofer.at/de/p.bio-raeucherlachs.000000000000634004.html,BIO Räucherlachs,BIO,4.49,,,,,,4.49,,https://www.hofer.at/de/p.bio-raeucherlachs.000000000000634004.html,legacy_search
2026-03-26 13:17:41,2026-03-26,Hofer,,,,,https://www.hofer.at/de/p.faschiertes-gemischt.000000000000538979.html,Faschiertes gemischt,FAIR HOF,5.49,,,,,,5.49,,https://www.hofer.at/de/p.faschiertes-gemischt.000000000000538979.html,legacy_search
2026-03-26 13:17:43,2026-03-26,Hofer,,,,,https://www.hofer.at/de/p.zurueck-zum-ursprung-bio-bergbauern-mozzarella.000000000000106894.html,ZURÜCK ZUM URSPRUNG BIO-Bergbauern Mozzarella,ZURÜCK ZUM URSPRUNG,1.39,,,,,,1.39,,https://www.hofer.at/de/p.zurueck-zum-ursprung-bio-bergbauern-mozzarella.000000000000106894.html,legacy_search
