scraped_at,scrape_date,store_name,source_url,product_name,brand,current_price_raw,previous_price_raw,unit_price_raw,package_raw,discount_raw,promo_raw,current_price_eur,previous_price_eur,source_product_url,error_message
2026-05-04T13:37:16+0200,2026-05-04,Billa,https://shop.billa.at/suche/obst,,,,,,,,,,,,"[38;5;251m[36mℹ[38;5;251m In argument: `brand = if (...) NULL`.[39m
[1mCaused by error in `.data$brand`:[22m
[38;5;251m[33m![38;5;251m Column `brand` not found in `.data`.[39m"
2026-05-04T13:37:17+0200,2026-05-04,Hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=obst,SPITZ Obstschnaps,,"€ 9,99",,,"per Flasche (1 L = € 9,99 )",,,9.99,,,
2026-05-04T13:37:17+0200,2026-05-04,Hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=obst,Obstpflanze*,,"€ 9,99",,,per Stück,,,9.99,,,
2026-05-04T13:37:17+0200,2026-05-04,Hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=obst,PRITEX Pheromonfallen Obstbaum,,"€ 4,99",,,per Stück,,,4.99,,,
2026-05-04T13:37:17+0200,2026-05-04,Hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=obst,GARDENLINE Obst- und Gemüsedünger,,"€ 2,49",,,"per Stück (1 L = € 2,49 )",,,2.49,,,
2026-05-04T13:37:17+0200,2026-05-04,Hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=obst,"MILSANI Fruchtjoghurt Quetschi, Mango",,"€ 0,69",,,"per Stück (1 per Kilogramm = € 6,90 )",,,0.69,,,
2026-05-04T13:37:17+0200,2026-05-04,Hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=obst,"MILSANI Fruchtjoghurt Quetschi, Erdbeer-Banane",,"€ 0,69",,,"per Stück (1 per Kilogramm = € 6,90 )",,,0.69,,,
2026-05-04T13:37:17+0200,2026-05-04,Hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=obst,"ZURÜCK ZUM URSPRUNG Österreichischer BIO-Apfelmus, ungezuckert",,"€ 1,59",,,"per Stück (1 per Kilogramm = € 4,54 )",,,1.59,,,
2026-05-04T13:37:17+0200,2026-05-04,Hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=obst,ALL SEASONS Himbeeren,,"€ 3,99",,,"per Stück (1 per Kilogramm = € 7,98 )",,,3.99,,,
2026-05-04T13:37:17+0200,2026-05-04,Hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=obst,GENUSS 100% AUS ÖSTERREICH Puten-Toastschicken,,"€ 2,49",,,"per Packung (100 per Gramm = € 1,66 )",,,2.49,,,
