scraped_at,scrape_date,store_name,food_group,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes
2026-03-26T15:56:14+0100,2026-03-26,Billa,Aepfel,Aepfel,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Aepfel,,SCRAPE_ERROR: parser returned no products.
2026-03-26T15:56:15+0100,2026-03-26,Billa,Bananen,Bananen,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Bananen,,SCRAPE_ERROR: parser returned no products.
2026-03-26T15:56:17+0100,2026-03-26,Billa,Brot,Toastbrot,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Toastbrot,,SCRAPE_ERROR: parser returned no products.
2026-03-26T15:56:19+0100,2026-03-26,Billa,Butter,Teebutter,Eigenmarke,Ja! Natürlich Butter,Ja! Natürlich,3.19,2.69,EUR,1,"1 kg 12,76 €",Ja! Natürlich 250 g Packung,250,g,TRUE,,,multi_buy,ab 2 Packungen,billa,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,Streichfaehige oder klassische Butter
2026-03-26T15:56:21+0100,2026-03-26,Billa,Eier,Eier,Eigenmarke,Ja! Natürlich Bio Eier M,Ja! Natürlich,4.99,,EUR,1,"1 Stk 0,50 €",Ja! Natürlich 10 stk,10,stk,FALSE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829,Packungsgroesse dokumentieren
2026-03-26T15:56:23+0100,2026-03-26,Billa,Fisch,Raeucherlachs,Eigenmarke,BILLA Bio Räucherlachs,BILLA Bio,3.99,4.99,EUR,100,"100 g 3,99 €",BILLA Bio 100 g Stück,100,g,TRUE,,,multi_buy,ab 2 Stk,billa,https://shop.billa.at/produkte/billa-bio-raeucherlachs-00443218,https://shop.billa.at/produkte/billa-bio-raeucherlachs-00443218,Moeglichst Standardprodukt
2026-03-26T15:56:25+0100,2026-03-26,Billa,Fleisch,Faschiertes gemischt,Eigenmarke,Ja! Natürlich gemischtes Faschiertes,Ja! Natürlich,7.99,,EUR,1,"1 kg 22,19 €",Ja! Natürlich 360 g Packung,360,g,TRUE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-gemischtes-faschiertes-00763685,https://shop.billa.at/produkte/ja-natuerlich-gemischtes-faschiertes-00763685,Frischware
2026-03-26T15:56:27+0100,2026-03-26,Billa,Haferflocken,Haferflocken,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Haferflocken,,SCRAPE_ERROR: parser returned no products.
2026-03-26T15:56:29+0100,2026-03-26,Billa,Joghurt,Naturjoghurt,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Naturjoghurt,,SCRAPE_ERROR: parser returned no products.
2026-03-26T15:56:31+0100,2026-03-26,Billa,Kaese,Mozzarella,Eigenmarke,Ja! Natürlich Mozzarella,Ja! Natürlich,1.49,,EUR,100,"100 g 1,19 €",Ja! Natürlich 125 g Beutel,125,g,TRUE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-mozzarella-00946692,https://shop.billa.at/produkte/ja-natuerlich-mozzarella-00946692,Kugel oder Standardpackung
2026-03-26T15:56:33+0100,2026-03-26,Billa,Kaffee,Kaffee Crema,Eigenmarke,BILLA Bio Caffe Crema,BILLA Bio,14.99,,EUR,1,"1 kg 14,99 €",BILLA Bio 1 kg Packung,1,kg,TRUE,,,,,billa,https://shop.billa.at/produkte/billa-bio-caffe-crema-00463751,https://shop.billa.at/produkte/billa-bio-caffe-crema-00463751,Ganze Bohne wenn verfuegbar
2026-03-26T15:56:35+0100,2026-03-26,Billa,Karotten,Karotten,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Karotten,,SCRAPE_ERROR: parser returned no products.
2026-03-26T15:56:36+0100,2026-03-26,Billa,Kartoffeln,Kartoffeln,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Kartoffeln,,SCRAPE_ERROR: parser returned no products.
2026-03-26T15:56:38+0100,2026-03-26,Billa,Mehl,Weizenmehl universal,Eigenmarke,Ja! Natürlich Weizenmehl Universal,Ja! Natürlich,1.29,,EUR,1,"1 kg 1,29 €",Ja! Natürlich 1 kg Packung,1,kg,TRUE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-weizenmehl-universal-00643074,https://shop.billa.at/produkte/ja-natuerlich-weizenmehl-universal-00643074,1kg bevorzugt
2026-03-26T15:56:40+0100,2026-03-26,Billa,Milch,Vollmilch,Eigenmarke,Ja! Natürlich Vollmilch länger frisch 3.5%,Ja! Natürlich,1.89,,EUR,1,"1 Liter 1,89 €",Ja! Natürlich 1 liter Packung Einweg,1,l,TRUE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-vollmilch-laenger-frisch-35-00651606,https://shop.billa.at/produkte/ja-natuerlich-vollmilch-laenger-frisch-35-00651606,3.5 Prozent oder aehnlich
2026-03-26T15:56:42+0100,2026-03-26,Billa,Nudeln,Spaghetti,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Spaghetti,,SCRAPE_ERROR: parser returned no products.
2026-03-26T15:56:44+0100,2026-03-26,Billa,Reis,Langkornreis,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Langkornreis,,SCRAPE_ERROR: parser returned no products.
2026-03-26T15:56:46+0100,2026-03-26,Billa,Schokolade,Vollmilchschokolade,Eigenmarke,Clever Alpenvollmilch Schokolade,CLEVER,0.89,2.19,EUR,100,"100 g 0,89 €",CLEVER 100 g Tafel,100,g,TRUE,,,multi_buy,ab 2 Tafeln,billa,https://shop.billa.at/produkte/clever-alpenvollmilch-schokolade-00769715,https://shop.billa.at/produkte/clever-alpenvollmilch-schokolade-00769715,Tafelware
2026-03-26T15:56:47+0100,2026-03-26,Billa,Zwiebeln,Zwiebeln,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Zwiebeln,,SCRAPE_ERROR: parser returned no products.
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,"ZURÜCK ZUM URSPRUNG BIO-Apfelessig, Klar",,1.77,,EUR,,,"per Stück (1 L = € 3,54 )",1,l,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,"ZURÜCK ZUM URSPRUNG BIO-Apfelessig, Naturtrüb",,1.77,,EUR,,,"per Stück (1 L = € 3,54 )",1,l,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,"ZURÜCK ZUM URSPRUNG BIO-Apfelsaft, Apfel-Birne",,1.99,,EUR,,,"per Stück (0 L = € 1,99 )",0,l,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,"ZURÜCK ZUM URSPRUNG BIO-Apfelsaft, Apfel-Johannisbeer",,1.99,,EUR,,,"per Stück (0 L = € 1,99 )",0,l,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,BACKBOX Vegane Apfelecke,,0.99,,EUR,,,"per Stück (1 per Kilogramm = € 8,46 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,RIO D'ORO Apfelsaft,,1.69,,EUR,,,per Flasche,,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,"MR. PERKINS Früchtetee, Apfel",,1.29,,EUR,,,per Packung,,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,"RAVINI Cider, Apfel",,0.69,,EUR,,,"per Flasche (1 L = € 2,09 )",1,l,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,"MEINE KÄSETHEKE Frischkäsezubereitung, Tomate",,1.99,,EUR,,,"per Stück (100 per Gramm = € 1,59 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,"RETTENSWERT Sugo, Karotte-Tomate",,1.99,,EUR,,,"per Stück (1 per Kilogramm = € 5,69 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,"HARIBO Balla Stixx, Apfel",,7.99,,EUR,,,"per Packung (100 per Gramm = € 0,71 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,"MR. PERKINS Früchtetee Mix, Apfel",,1.49,,EUR,,,per Packung,,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,"BBQ BBQ Grillknacker, Tomate",,0.99,,EUR,,,"per Packung (100 per Gramm = € 0,50 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:56:51+0100,2026-03-26,Hofer,Aepfel,Aepfel,Eigenmarke,"CHOCEUR Winter Schokoriegel, Apfel",,2.19,,EUR,,,"per Packung (100 per Gramm = € 1,10 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,1 kg oder Standardgebinde bevorzugt
